actor_id,first_name,last_name,last_update,actor_id
1,PENELOPE,GUINESS,2006-02-15T04:34:33Z,1
2,NICK,WAHLBERG,2006-02-15T04:34:33Z,2
3,ED,CHASE,2006-02-15T04:34:33Z,3
4,JENNIFER,DAVIS,2006-02-15T04:34:33Z,4
5,JOHNNY,LOLLOBRIGIDA,2006-02-15T04:34:33Z,5
6,BETTE,NICHOLSON,2006-02-15T04:34:33Z,6
7,GRACE,MOSTEL,2006-02-15T04:34:33Z,7
8,MATTHEW,JOHANSSON,2006-02-15T04:34:33Z,8
9,JOE,SWANK,2006-02-15T04:34:33Z,9
10,CHRISTIAN,GABLE,2006-02-15T04:34:33Z,10
11,ZERO,CAGE,2006-02-15T04:34:33Z,11
12,KARL,BERRY,2006-02-15T04:34:33Z,12
13,UMA,WOOD,2006-02-15T04:34:33Z,13
14,VIVIEN,BERGEN,2006-02-15T04:34:33Z,14
15,CUBA,OLIVIER,2006-02-15T04:34:33Z,15
16,FRED,COSTNER,2006-02-15T04:34:33Z,16
17,HELEN,VOIGHT,2006-02-15T04:34:33Z,17
18,DAN,TORN,2006-02-15T04:34:33Z,18
19,BOB,FAWCETT,2006-02-15T04:34:33Z,19
20,LUCILLE,TRACY,2006-02-15T04:34:33Z,20
21,KIRSTEN,PALTROW,2006-02-15T04:34:33Z,21
22,ELVIS,MARX,2006-02-15T04:34:33Z,22
23,SANDRA,KILMER,2006-02-15T04:34:33Z,23
24,CAMERON,STREEP,2006-02-15T04:34:33Z,24
25,KEVIN,BLOOM,2006-02-15T04:34:33Z,25
26,RIP,CRAWFORD,2006-02-15T04:34:33Z,26
27,JULIA,MCQUEEN,2006-02-15T04:34:33Z,27
28,WOODY,HOFFMAN,2006-02-15T04:34:33Z,28
29,ALEC,WAYNE,2006-02-15T04:34:33Z,29
30,SANDRA,PECK,2006-02-15T04:34:33Z,30
31,SISSY,SOBIESKI,2006-02-15T04:34:33Z,31
32,TIM,HACKMAN,2006-02-15T04:34:33Z,32
33,MILLA,PECK,2006-02-15T04:34:33Z,33
34,AUDREY,OLIVIER,2006-02-15T04:34:33Z,34
35,JUDY,DEAN,2006-02-15T04:34:33Z,35
36,BURT,DUKAKIS,2006-02-15T04:34:33Z,36
37,VAL,BOLGER,2006-02-15T04:34:33Z,37
38,TOM,MCKELLEN,2006-02-15T04:34:33Z,38
39,GOLDIE,BRODY,2006-02-15T04:34:33Z,39
40,JOHNNY,CAGE,2006-02-15T04:34:33Z,40
41,JODIE,DEGENERES,2006-02-15T04:34:33Z,41
42,TOM,MIRANDA,2006-02-15T04:34:33Z,42
43,KIRK,JOVOVICH,2006-02-15T04:34:33Z,43
44,NICK,STALLONE,2006-02-15T04:34:33Z,44
45,REESE,KILMER,2006-02-15T04:34:33Z,45
46,PARKER,GOLDBERG,2006-02-15T04:34:33Z,46
47,JULIA,BARRYMORE,2006-02-15T04:34:33Z,47
48,FRANCES,DAY-LEWIS,2006-02-15T04:34:33Z,48
49,ANNE,CRONYN,2006-02-15T04:34:33Z,49
50,NATALIE,HOPKINS,2006-02-15T04:34:33Z,50
51,GARY,PHOENIX,2006-02-15T04:34:33Z,51
52,CARMEN,HUNT,2006-02-15T04:34:33Z,52
53,MENA,TEMPLE,2006-02-15T04:34:33Z,53
54,PENELOPE,PINKETT,2006-02-15T04:34:33Z,54
55,FAY,KILMER,2006-02-15T04:34:33Z,55
56,DAN,HARRIS,2006-02-15T04:34:33Z,56
57,JUDE,CRUISE,2006-02-15T04:34:33Z,57
58,CHRISTIAN,AKROYD,2006-02-15T04:34:33Z,58
59,DUSTIN,TAUTOU,2006-02-15T04:34:33Z,59
60,HENRY,BERRY,2006-02-15T04:34:33Z,60
61,CHRISTIAN,NEESON,2006-02-15T04:34:33Z,61
62,JAYNE,NEESON,2006-02-15T04:34:33Z,62
63,CAMERON,WRAY,2006-02-15T04:34:33Z,63
64,RAY,JOHANSSON,2006-02-15T04:34:33Z,64
65,ANGELA,HUDSON,2006-02-15T04:34:33Z,65
66,MARY,TANDY,2006-02-15T04:34:33Z,66
67,JESSICA,BAILEY,2006-02-15T04:34:33Z,67
68,RIP,WINSLET,2006-02-15T04:34:33Z,68
69,KENNETH,PALTROW,2006-02-15T04:34:33Z,69
70,MICHELLE,MCCONAUGHEY,2006-02-15T04:34:33Z,70
71,ADAM,GRANT,2006-02-15T04:34:33Z,71
72,SEAN,WILLIAMS,2006-02-15T04:34:33Z,72
73,GARY,PENN,2006-02-15T04:34:33Z,73
74,MILLA,KEITEL,2006-02-15T04:34:33Z,74
75,BURT,POSEY,2006-02-15T04:34:33Z,75
76,ANGELINA,ASTAIRE,2006-02-15T04:34:33Z,76
77,CARY,MCCONAUGHEY,2006-02-15T04:34:33Z,77
78,GROUCHO,SINATRA,2006-02-15T04:34:33Z,78
79,MAE,HOFFMAN,2006-02-15T04:34:33Z,79
80,RALPH,CRUZ,2006-02-15T04:34:33Z,80
81,SCARLETT,DAMON,2006-02-15T04:34:33Z,81
82,WOODY,JOLIE,2006-02-15T04:34:33Z,82
83,BEN,WILLIS,2006-02-15T04:34:33Z,83
84,JAMES,PITT,2006-02-15T04:34:33Z,84
85,MINNIE,ZELLWEGER,2006-02-15T04:34:33Z,85
86,GREG,CHAPLIN,2006-02-15T04:34:33Z,86
87,SPENCER,PECK,2006-02-15T04:34:33Z,87
88,KENNETH,PESCI,2006-02-15T04:34:33Z,88
89,CHARLIZE,DENCH,2006-02-15T04:34:33Z,89
90,SEAN,GUINESS,2006-02-15T04:34:33Z,90
91,CHRISTOPHER,BERRY,2006-02-15T04:34:33Z,91
92,KIRSTEN,AKROYD,2006-02-15T04:34:33Z,92
93,ELLEN,PRESLEY,2006-02-15T04:34:33Z,93
94,KENNETH,TORN,2006-02-15T04:34:33Z,94
95,DARYL,WAHLBERG,2006-02-15T04:34:33Z,95
96,GENE,WILLIS,2006-02-15T04:34:33Z,96
97,MEG,HAWKE,2006-02-15T04:34:33Z,97
98,CHRIS,BRIDGES,2006-02-15T04:34:33Z,98
99,JIM,MOSTEL,2006-02-15T04:34:33Z,99
100,SPENCER,DEPP,2006-02-15T04:34:33Z,100
101,SUSAN,DAVIS,2006-02-15T04:34:33Z,101
102,WALTER,TORN,2006-02-15T04:34:33Z,102
103,MATTHEW,LEIGH,2006-02-15T04:34:33Z,103
104,PENELOPE,CRONYN,2006-02-15T04:34:33Z,104
105,SIDNEY,CROWE,2006-02-15T04:34:33Z,105
106,GROUCHO,DUNST,2006-02-15T04:34:33Z,106
107,GINA,DEGENERES,2006-02-15T04:34:33Z,107
108,WARREN,NOLTE,2006-02-15T04:34:33Z,108
109,SYLVESTER,DERN,2006-02-15T04:34:33Z,109
110,SUSAN,DAVIS,2006-02-15T04:34:33Z,110
111,CAMERON,ZELLWEGER,2006-02-15T04:34:33Z,111
112,RUSSELL,BACALL,2006-02-15T04:34:33Z,112
113,MORGAN,HOPKINS,2006-02-15T04:34:33Z,113
114,MORGAN,MCDORMAND,2006-02-15T04:34:33Z,114
115,HARRISON,BALE,2006-02-15T04:34:33Z,115
116,DAN,STREEP,2006-02-15T04:34:33Z,116
117,RENEE,TRACY,2006-02-15T04:34:33Z,117
118,CUBA,ALLEN,2006-02-15T04:34:33Z,118
119,WARREN,JACKMAN,2006-02-15T04:34:33Z,119
120,PENELOPE,MONROE,2006-02-15T04:34:33Z,120
121,LIZA,BERGMAN,2006-02-15T04:34:33Z,121
122,SALMA,NOLTE,2006-02-15T04:34:33Z,122
123,JULIANNE,DENCH,2006-02-15T04:34:33Z,123
124,SCARLETT,BENING,2006-02-15T04:34:33Z,124
125,ALBERT,NOLTE,2006-02-15T04:34:33Z,125
126,FRANCES,TOMEI,2006-02-15T04:34:33Z,126
127,KEVIN,GARLAND,2006-02-15T04:34:33Z,127
128,CATE,MCQUEEN,2006-02-15T04:34:33Z,128
129,DARYL,CRAWFORD,2006-02-15T04:34:33Z,129
130,GRETA,KEITEL,2006-02-15T04:34:33Z,130
131,JANE,JACKMAN,2006-02-15T04:34:33Z,131
132,ADAM,HOPPER,2006-02-15T04:34:33Z,132
133,RICHARD,PENN,2006-02-15T04:34:33Z,133
134,GENE,HOPKINS,2006-02-15T04:34:33Z,134
135,RITA,REYNOLDS,2006-02-15T04:34:33Z,135
136,ED,MANSFIELD,2006-02-15T04:34:33Z,136
137,MORGAN,WILLIAMS,2006-02-15T04:34:33Z,137
138,LUCILLE,DEE,2006-02-15T04:34:33Z,138
139,EWAN,GOODING,2006-02-15T04:34:33Z,139
140,WHOOPI,HURT,2006-02-15T04:34:33Z,140
141,CATE,HARRIS,2006-02-15T04:34:33Z,141
142,JADA,RYDER,2006-02-15T04:34:33Z,142
143,RIVER,DEAN,2006-02-15T04:34:33Z,143
144,ANGELA,WITHERSPOON,2006-02-15T04:34:33Z,144
145,KIM,ALLEN,2006-02-15T04:34:33Z,145
146,ALBERT,JOHANSSON,2006-02-15T04:34:33Z,146
147,FAY,WINSLET,2006-02-15T04:34:33Z,147
148,EMILY,DEE,2006-02-15T04:34:33Z,148
149,RUSSELL,TEMPLE,2006-02-15T04:34:33Z,149
150,JAYNE,NOLTE,2006-02-15T04:34:33Z,150
151,GEOFFREY,HESTON,2006-02-15T04:34:33Z,151
152,BEN,HARRIS,2006-02-15T04:34:33Z,152
153,MINNIE,KILMER,2006-02-15T04:34:33Z,153
154,MERYL,GIBSON,2006-02-15T04:34:33Z,154
155,IAN,TANDY,2006-02-15T04:34:33Z,155
156,FAY,WOOD,2006-02-15T04:34:33Z,156
157,GRETA,MALDEN,2006-02-15T04:34:33Z,157
158,VIVIEN,BASINGER,2006-02-15T04:34:33Z,158
159,LAURA,BRODY,2006-02-15T04:34:33Z,159
160,CHRIS,DEPP,2006-02-15T04:34:33Z,160
161,HARVEY,HOPE,2006-02-15T04:34:33Z,161
162,OPRAH,KILMER,2006-02-15T04:34:33Z,162
163,CHRISTOPHER,WEST,2006-02-15T04:34:33Z,163
164,HUMPHREY,WILLIS,2006-02-15T04:34:33Z,164
165,AL,GARLAND,2006-02-15T04:34:33Z,165
166,NICK,DEGENERES,2006-02-15T04:34:33Z,166
167,LAURENCE,BULLOCK,2006-02-15T04:34:33Z,167
168,WILL,WILSON,2006-02-15T04:34:33Z,168
169,KENNETH,HOFFMAN,2006-02-15T04:34:33Z,169
170,MENA,HOPPER,2006-02-15T04:34:33Z,170
171,OLYMPIA,PFEIFFER,2006-02-15T04:34:33Z,171
172,GROUCHO,WILLIAMS,2006-02-15T04:34:33Z,172
173,ALAN,DREYFUSS,2006-02-15T04:34:33Z,173
174,MICHAEL,BENING,2006-02-15T04:34:33Z,174
175,WILLIAM,HACKMAN,2006-02-15T04:34:33Z,175
176,JON,CHASE,2006-02-15T04:34:33Z,176
177,GENE,MCKELLEN,2006-02-15T04:34:33Z,177
178,LISA,MONROE,2006-02-15T04:34:33Z,178
179,ED,GUINESS,2006-02-15T04:34:33Z,179
180,JEFF,SILVERSTONE,2006-02-15T04:34:33Z,180
181,MATTHEW,CARREY,2006-02-15T04:34:33Z,181
182,DEBBIE,AKROYD,2006-02-15T04:34:33Z,182
183,RUSSELL,CLOSE,2006-02-15T04:34:33Z,183
184,HUMPHREY,GARLAND,2006-02-15T04:34:33Z,184
185,MICHAEL,BOLGER,2006-02-15T04:34:33Z,185
186,JULIA,ZELLWEGER,2006-02-15T04:34:33Z,186
187,RENEE,BALL,2006-02-15T04:34:33Z,187
188,ROCK,DUKAKIS,2006-02-15T04:34:33Z,188
189,CUBA,BIRCH,2006-02-15T04:34:33Z,189
190,AUDREY,BAILEY,2006-02-15T04:34:33Z,190
191,GREGORY,GOODING,2006-02-15T04:34:33Z,191
192,JOHN,SUVARI,2006-02-15T04:34:33Z,192
193,BURT,TEMPLE,2006-02-15T04:34:33Z,193
194,MERYL,ALLEN,2006-02-15T04:34:33Z,194
195,JAYNE,SILVERSTONE,2006-02-15T04:34:33Z,195
196,BELA,WALKEN,2006-02-15T04:34:33Z,196
197,REESE,WEST,2006-02-15T04:34:33Z,197
198,MARY,KEITEL,2006-02-15T04:34:33Z,198
199,JULIA,FAWCETT,2006-02-15T04:34:33Z,199
200,THORA,TEMPLE,2006-02-15T04:34:33Z,200
