inventory_id,film_id,store_id,last_update
1,1,1,2020-02-15T06:59:29Z
2,1,1,2020-02-15T06:59:29Z
3,1,1,2020-02-15T06:59:29Z
4,1,1,2020-02-15T06:59:29Z
5,1,2,2020-02-15T06:59:29Z
6,1,2,2020-02-15T06:59:29Z
7,1,2,2020-02-15T06:59:29Z
8,1,2,2020-02-15T06:59:29Z
9,2,2,2020-02-15T06:59:29Z
10,2,2,2020-02-15T06:59:29Z
11,2,2,2020-02-15T06:59:29Z
12,3,2,2020-02-15T06:59:29Z
13,3,2,2020-02-15T06:59:29Z
14,3,2,2020-02-15T06:59:29Z
15,3,2,2020-02-15T06:59:29Z
16,4,1,2020-02-15T06:59:29Z
17,4,1,2020-02-15T06:59:29Z
18,4,1,2020-02-15T06:59:29Z
19,4,1,2020-02-15T06:59:29Z
20,4,2,2020-02-15T06:59:29Z
21,4,2,2020-02-15T06:59:29Z
22,4,2,2020-02-15T06:59:29Z
23,5,2,2020-02-15T06:59:29Z
24,5,2,2020-02-15T06:59:29Z
25,5,2,2020-02-15T06:59:29Z
26,6,1,2020-02-15T06:59:29Z
27,6,1,2020-02-15T06:59:29Z
28,6,1,2020-02-15T06:59:29Z
29,6,2,2020-02-15T06:59:29Z
30,6,2,2020-02-15T06:59:29Z
31,6,2,2020-02-15T06:59:29Z
32,7,1,2020-02-15T06:59:29Z
33,7,1,2020-02-15T06:59:29Z
34,7,2,2020-02-15T06:59:29Z
35,7,2,2020-02-15T06:59:29Z
36,7,2,2020-02-15T06:59:29Z
37,8,2,2020-02-15T06:59:29Z
38,8,2,2020-02-15T06:59:29Z
39,8,2,2020-02-15T06:59:29Z
40,8,2,2020-02-15T06:59:29Z
41,9,1,2020-02-15T06:59:29Z
42,9,1,2020-02-15T06:59:29Z
43,9,1,2020-02-15T06:59:29Z
44,9,2,2020-02-15T06:59:29Z
45,9,2,2020-02-15T06:59:29Z
46,10,1,2020-02-15T06:59:29Z
47,10,1,2020-02-15T06:59:29Z
48,10,1,2020-02-15T06:59:29Z
49,10,1,2020-02-15T06:59:29Z
50,10,2,2020-02-15T06:59:29Z
51,10,2,2020-02-15T06:59:29Z
52,10,2,2020-02-15T06:59:29Z
53,11,1,2020-02-15T06:59:29Z
54,11,1,2020-02-15T06:59:29Z
55,11,1,2020-02-15T06:59:29Z
56,11,1,2020-02-15T06:59:29Z
57,11,2,2020-02-15T06:59:29Z
